professionName,professionEnglishName,agricultureOrForestryRelated,manualLabor,education,SESgroup1989,occupationCategory,socialClassRank
konekokooja,machine assembler,0,1,0,5,6,6
lasityöntekijä,glass worker,0,0,0,5,6,4
merkkaaja,"ambiguous, might be working at a lighthouse?",0,0,0,5,6,4
nahkatyöntekijä,leather worker,,1,0,5,6,5
ravintolanhoitaja,restaurant manager,0,0,,4,6,3
urkuri,organist,0,0,,4,0,3
vanhempi poliisikonstaapeli,senior police officer,0,0,,4,8,3
kotiteollisuusopettaja,artisanal teacher,0,0,1,3,0,3
koulunjohtaja,schoolmaster,0,0,1,,0,2
autokoulunopettaja,driving instructor,,0,,,0,3
isäntä,host,,0,,,8,5
pastori,pastor,0,0,1,3,0,2
Pientilallinen,crofter,1,1,0,1,3,6
piiripäällikkö,district Manager,0,0,,3,1,2
suunnittelija,designer,0,0,,4,0,2
työteknikko,technician,0,0,,4,6,2
voimistelunopettaja,gymnastics teacher,0,0,,3,0,3
ylihoitaja,head nurse,0,0,1,3,0,3
elintarviketyöntekijä,food worker,0,0,0,5,6,7
hitsari,welder,0,1,0,5,6,5
hoitoapulainen,care assistant,0,0,0,5,0,7
näyttelijä,actor,0,0,0,,0,4
puistotyöntekijä,park employee,0,0,0,4,3,4
tietyömies,road worker,0,1,0,5,6,6
everstiluutnantti evp,Lieutenant Colonel ret,0,0,1,3,8,2
ruokalanhoitaja,canteen attendant,0,0,0,5,8,7
seurakuntasisar,woman working for church,0,0,,4,0,3
tehdastyömies,factory laborer,0,1,0,5,6,6
teknillinen apulainen,Technical assistant,0,0,,4,6,4
myymälätarkastaja,shop inspector,0,0,,3,2,3
ohjaaja,supervisor,0,0,,4,0,3
perämies,helmsman on boat,0,0,0,5,5,5
sahanasettaja,saw fitter (works in saw mill),0,1,0,5,4,6
työnsuunnittelija,work planner,,0,0,,0,2
sähkömies,electrician,0,0,0,5,6,4
turbiininhoitaja,turbine nurse,0,0,1,4,6,3
ammattikoulunopettaja,vocational school teacher,0,0,1,3,0,3
jalkinetyöläinen,shoe worker,0,0,0,5,6,6
kukkakauppias,florist,0,0,0,5,2,5
kuormaaja,loader,0,1,0,5,5,7
lasintarkastaja,glass inspector,0,0,,4,6,3
maatyöläinen,farm hand,1,1,0,5,3,7
makkaratyöntekijä,sausage employee,0,,0,5,6,7
nen,of,,,,,,
piirityönjohtaja,the circuit overseer,0,0,,4,1,3
tarkkailukarjakko,tarkkailukarjakko,,,,,3,
vaunumestari,in charge of rail cars at railway station,0,0,,3,5,2
herastuomari,Juror,0,0,,,1,4
