name,region,stemmedName,extractedName,latitude,longitude,addedByKaira
Bengt,other,bengt,Bengt,,,
Berg,other,berg,Berg,,,
Bergö,other,bergö,Bergö,,,
Berliini,other,berl,Berliini,,,
Bertta,other,bert,Bertta,,,
Bialystokissa,,bialystok,Bialystokissa,,,
Billnäs,other,billnäs,Billnäsissä,,,
Björkboda,other,björkbod,Björkboda,60.0921,22.56628,
Boe,other,boe,Boe,,,
Boräs,other,boräs,Boräs,,,
Bordom,other,bordom,Bordom,,,
Börtom,other,börtom,Börtom,,,
Boston,other,bosto,Boston,,,
Brasilia,other,brasil,Brasilia,,,
Brättnäs,other,brättnäs,Brättnäs,,,
Breslavv,other,breslav,Breslavv,,,
Bressburg,other,bressburg,Bressburg,,,
Bromarv,other,bromarv,Bromarv,59.98874,23.03389,
Bromary,other,bromary,Bromary,59.98874,23.03389,
Brommark,other,brommark,Brommark,,,
Bruno,other,bruno,Bruno,,,
Buldovassa,,buldov,Buldovassa,,,
cakkola,karelia,cakkol,cakkola,,,
Canada,other,canad,Canada,,,
Caracas,other,caracas,Caracas,,,
Cheffordissa,,chefford,Cheffordissa,,,
Chile,other,chile,Chile,,,
Columbia,other,columb,Columbia,,,
Daisy,other,daisy,Daisy,,,
Danzig,other,danzig,Danzig,,,
Dragsfjärd,other,dragsfjärd,Dragsfjärd,60.06667,22.48333,
Deckerby,other,deckerby,Deckerby,,,
Degerby,other,degerby,Degerbyssä,,,
Drägsby,other,drägsby,Drägsby,60.37184,25.56404,
Dragsfjär,other,dragsfjär,Dragsfjär,,,
Dragsfjärdkk,other,dragsfjärdk,Dragsfjärdkk,,,
Dragsljärd,other,dragsljärd,Dragsljärd,,,
Dragsvik,other,dragsvik,Dragsvik,59.98764,23.49684,
Dresden,other,dresd,Dresden,,,
Dresdenissä,,dresden,Dresdenissä,,,
Dusvik,other,dusvik,Dusvik,,,
Edessalo,other,edessalo,Edessalo,,,
Edmonton,other,edmonto,Edmonton,,,
Eemelissä,,eemel,Eemelissä,,,
Eero,other,eero,Eero,,,
Eesti,karelia,eest,Eesti,43.67644,40.26661,
Eeva,other,eeva,Eeva,,,
Eevala,karelia,eeval,Eevala,60.58983,30.49599,
Eevao,other,eevao,Eevao,,,
Ehosalmi,other,ehosalm,Ehosalmi,,,
EHsenvaara,other,ehsenvaar,EHsenvaara,,,
Eiisenvaara,other,eiisenvaar,Eiisenvaara,,,
Eila,other,eila,Eila,,,
Einar,other,einar,Einar,,,
Eine,other,eine,Eine,,,
Eino,other,eino,Eino,,,
Eislingen,other,eisling,Eislingen,,,
Eistilä,karelia,eistil,Eistilä,,,
Eklajärvi,karelia,eklajärv,Eklajärvi,,,
Ekniemi,other,ekniem,Ekniemi,60.21434,22.59192,
Elina,other,el,Elina,,,
Eläintarha,karelia,eläintarh,Eläintarha,,,
Elämänjärvi,other,elämänjärv,Elämänjärvi,,,
Eli,,eli,Eli,,,
Eli-senvaara,,eli-senvaar,Eli-senvaara,,,
Elimäki,other,elimäk,Elimäki,62.03821,24.88472,
Elimäkikk,other,elimäkik,Elimäkikk,,,
Elirpaki,other,elirpak,Elirpaki,,,
Elisa,other,elis,Elisa,,,
Elisabet,other,elisab,Elisabet,,,
Elisanvaara,karelia,elisanvaar,Elisanvaara,,,
Elisevaara,karelia,elisevaar,Elisevaara,,,
Elisenvaära,karelia,elisenvaär,Elisenvaära,,,
